"선수명","생년월일","입단연도","은퇴연도","경력","경기","생월","포지션"
"조영민",1981-03-11,2008,2008,1,4,3,"타자"
"곽동훈",1981-07-13,2008,2011,3,11,7,"투수"
"서성종",1983-06-17,2008,2010,2,5,6,"타자"
"김준호",1984-03-03,2008,2011,3,59,3,"타자"
"노환수",1984-06-30,2008,2008,1,2,6,"타자"
"권영진",1984-11-18,2008,2012,3,35,11,"타자"
"김수형",1985-03-27,2008,2008,1,1,3,"타자"
"박진영",1985-03-27,2008,2008,1,10,3,"타자"
"임성헌",1985-06-22,2008,2010,3,25,6,"투수"
"최현종",1985-07-08,2008,2008,1,18,7,"타자"
"임도현",1985-09-06,2008,2013,3,31,9,"타자"
"이성재",1985-11-20,2008,2008,1,7,11,"타자"
"김주현",1986-01-22,2008,2009,2,16,1,"타자"
"김회권",1986-04-10,2008,2008,1,1,4,"타자"
"양승진",1987-04-19,2008,2012,5,27,4,"투수"
"김성현",1989-01-03,2008,2011,4,98,1,"투수"
"최연오",1984-03-14,2009,2009,1,5,3,"타자"
"하지호",1984-12-16,2009,2010,2,11,12,"타자"
"양지훈",1985-04-15,2009,2009,1,7,4,"투수"
"이정동",1985-07-17,2009,2009,1,4,7,"투수"
"지훈",1986-02-22,2009,2009,1,1,2,"투수"
"윤진호",1986-06-23,2009,2012,4,117,6,"타자"
"박현준",1986-09-22,2009,2011,3,63,9,"투수"
"김정남",1986-11-22,2009,2011,2,16,11,"타자"
"김주",1989-03-02,2009,2009,1,3,3,"투수"
"정성철",1990-04-21,2009,2009,1,11,4,"투수"
"조승수",1990-06-09,2009,2011,3,30,6,"투수"
"최성민",1990-07-31,2009,2011,3,33,7,"투수"
"조태수",1983-05-29,2010,2010,1,4,5,"타자"
"이성호",1985-03-09,2010,2010,1,5,3,"타자"
"박건우",1985-04-06,2010,2012,3,18,4,"투수"
"장태성",1986-12-15,2010,2010,1,3,12,"타자"
"김동길",1987-03-01,2010,2011,2,14,3,"타자"
"변용선",1987-05-17,2010,2012,2,10,5,"타자"
"임한용",1987-07-15,2010,2011,2,12,7,"타자"
"신해수",1987-11-30,2010,2010,1,2,11,"투수"
"박시영",1989-03-10,2010,2010,1,2,3,"투수"
"장민제",1990-03-19,2010,2011,2,49,3,"투수"
"김태훈",1990-05-19,2010,2012,3,26,5,"투수"
"윤효섭",1990-10-24,2010,2010,1,1,10,"타자"
"김재우",1991-10-22,2010,2010,1,5,10,"타자"
"안영진",1983-09-03,2011,2012,2,9,9,"투수"
"최진호",1984-08-26,2011,2011,1,4,8,"투수"
"이상훈",1985-05-10,2011,2011,1,1,5,"투수"
"김용호",1986-03-29,2011,2011,1,2,3,"타자"
"이규대",1986-10-20,2011,2011,1,2,10,"투수"
"안동현",1986-12-24,2011,2011,1,2,12,"타자"
"박진원",1987-03-17,2011,2011,1,7,3,"타자"
"김태훈",1987-09-28,2011,2011,1,3,9,"타자"
"명재철",1989-01-17,2011,2013,2,5,1,"투수"
"정상교",1991-10-01,2011,2012,2,12,10,"타자"
"허일",1992-11-20,2011,2011,1,2,11,"타자"
"박찬호",1973-06-30,2012,2012,1,23,6,"투수"
"권영준",1986-06-04,2012,2012,1,11,6,"타자"
"신정익",1987-02-04,2012,2013,2,4,2,"투수"
"이경우",1987-11-09,2012,2012,1,1,11,"투수"
"이민재",1988-02-05,2012,2012,1,7,2,"타자"
"이희성",1988-03-09,2012,2012,1,4,3,"투수"
"한성구",1988-09-14,2012,2012,1,17,9,"타자"
"김영훈",1989-03-24,2012,2012,1,2,3,"타자"
"최성훈",1989-10-11,2012,2013,2,41,10,"투수"
"최우석",1993-02-06,2012,2012,1,4,2,"투수"
"이우선",1983-04-19,2013,2013,1,1,4,"타자"
"임세업",1983-09-01,2013,2013,1,5,9,"타자"
"임경훈",1989-08-30,2013,2013,1,7,8,"타자"
